player,img_url
Manor Solomon,https://fbref.com/req/202302030/images/headshots/886f9aac_2022.jpg
Saša Lukić,https://fbref.com/req/202302030/images/headshots/c6e8cf1f_2022.jpg
Cédric Soares,https://fbref.com/req/202302030/images/headshots/839c14e1_2022.jpg
Marek Rodák,https://fbref.com/req/202302030/images/headshots/17acc2ed_2022.jpg
Layvin Kurzawa,https://fbref.com/req/202302030/images/headshots/41e7ef1c_2022.jpg
Kevin Mbabu,https://fbref.com/req/202302030/images/headshots/493924a7_2022.jpg
Jay Stansfield,
Nathaniel Chalobah,https://fbref.com/req/202302030/images/headshots/422862ea_2022.jpg
Shane Duffy,https://fbref.com/req/202302030/images/headshots/7314bba4_2022.jpg
Josh Onomah,https://fbref.com/req/202302030/images/headshots/6612cd8c_2022.jpg
Luke Harris,https://fbref.com/req/202302030/images/headshots/8c3078cd_2022.jpg
Tyrese Francois,https://fbref.com/req/202302030/images/headshots/6722d4f0_2022.jpg
Terry Ablade,
Matt Dibley-Dias,
Martial Godo,
Rodrigo Muniz,
Stefan Parkes,
Charlie Robinson,
Kristian Sekularac,
George Wickens,
Marc Guéhi,https://fbref.com/req/202302030/images/headshots/d0706b27_2022.jpg
Tyrick Mitchell,https://fbref.com/req/202302030/images/headshots/5cbd1eb0_2022.jpg
Cheick Doucouré,https://fbref.com/req/202302030/images/headshots/ce4f40c7_2022.jpg
Joachim Andersen,https://fbref.com/req/202302030/images/headshots/e34fc66d_2022.jpg
Michael Olise,https://fbref.com/req/202302030/images/headshots/c4486bac_2022.jpg
Jordan Ayew,https://fbref.com/req/202302030/images/headshots/da052c14_2022.jpg
Eberechi Eze,https://fbref.com/req/202302030/images/headshots/ae4fc6a4_2022.jpg
